##Checked genes Ensembl
##date=20/5/2021
##Gene stable ID	HGNC symbol	Transcript_stable_ID
AT5G55130	MOCS3	AT5G55130.1
AT2G15420		AT2G15420.1
AT1G56170	NFYC2	AT1G56170.2
AT3G50330	HEC2	AT3G50330.1
AT3G12110	ACT11	AT3G12110.1
AT5G05390	LAC12	AT5G05390.1
AT2G19410		AT2G19410.2
AT1G24475		AT1G24475.1
AT3G51260	PAD1	AT3G51260.1
AT3G45660		AT3G45660.2
AT4G37070	PLP1	AT4G37070.2
AT2G23790		AT2G23790.1
AT1G44110	CYCA1-1	AT1G44110.1
AT2G16210		AT2G16210.1
AT2G03320		AT2G03320.1
AT1G78230		AT1G78230.1
AT1G20640	NLP4	AT1G20640.2
AT1G67410		AT1G67410.1
AT4G20640	CRRSP48	AT4G20640.1
AT2G15345		AT2G15345.1
AT3G10400	SNRNP31	AT3G10400.1
AT1G20310		AT1G20310.1
AT1G80040		AT1G80040.1
AT5G10650		AT5G10650.2
AT1G19300	GATL1	AT1G19300.1
AT1G20700	WOX14	AT1G20700.1
AT2G37820		AT2G37820.1
AT5G28960		AT5G28960.1
AT1G02460		AT1G02460.1
AT2G07643		AT2G07643.1
AT3G60880	DHDPS1	AT3G60880.2
AT1G07510	FTSH10	AT1G07510.1
AT5G49450	BZIP1	AT5G49450.1
AT1G62760	PMEI10	AT1G62760.1
AT4G31710	ATGLR2.4	AT4G31710.2
AT1G20260	VHA-B3	AT1G20260.1
AT1G32090		AT1G32090.1
AT3G17460		AT3G17460.1
AT1G71480		AT1G71480.1
AT5G23660	SWEET12	AT5G23660.1
AT3G17370		AT3G17370.1
AT5G55290	VHA-E1	AT5G55290.1
AT4G13170	RPL13AC	AT4G13170.1
AT1G70200		AT1G70200.1
AT4G14640	CML8	AT4G14640.1
AT4G32860		AT4G32860.1
AT3G55560	AHL15	AT3G55560.1
AT1G20980	SPL14	AT1G20980.1
AT5G62165	AGL42	AT5G62165.2
AT1G79890		AT1G79890.1
AT3G24130	PME29	AT3G24130.1
AT3G01345		AT3G01345.1
AT5G15740	OFUT34	AT5G15740.1
AT1G28340	AtRLP4	AT1G28340.1
AT1G66170	MMD1	AT1G66170.1
AT4G03470		AT4G03470.1
AT5G03060		AT5G03060.1
AT5G17523		AT5G17523.1
AT1G74380	XXT5	AT1G74380.1
AT3G19663		AT3G19663.1
AT5G01010		AT5G01010.2
AT2G44680	CKB4	AT2G44680.1
AT1G03470	NET3A	AT1G03470.1
AT2G04430	NUDT5	AT2G04430.1
AT3G20850		AT3G20850.1
AT3G47810	VPS29	AT3G47810.2
AT5G03730	CTR1	AT5G03730.1
AT3G06019		AT3G06019.1
AT5G52180		AT5G52180.1
AT3G55620	EIF6-2	AT3G55620.1
AT2G27229		AT2G27229.1
AT1G34050		AT1G34050.1
AT4G10595	LCR2	AT4G10595.1
AT2G07815		AT2G07815.1
AT3G10660	CPK2	AT3G10660.1
AT1G63680	ATMURE	AT1G63680.2
AT1G63450	GT16	AT1G63450.1
AT3G20710		AT3G20710.1
AT5G37900		AT5G37900.1
AT1G74740	CPK30	AT1G74740.1
AT5G03820		AT5G03820.2
AT5G54850		AT5G54850.1
AT5G62140		AT5G62140.1
AT2G01530	MLP329	AT2G01530.1
AT5G46000	JAL45	AT5G46000.1
AT1G13760		AT1G13760.1
AT3G21720	ICL	AT3G21720.1
AT1G42560	MLO9	AT1G42560.1
AT3G58890		AT3G58890.1
AT4G13250	NYC1	AT4G13250.1
AT5G45160		AT5G45160.1
AT1G13143		AT1G13143.1
AT2G28800	ALB3	AT2G28800.1
AT4G37130	NUP58	AT4G37130.1
AT3G60750	TKL-1	AT3G60750.1
AT2G15695		AT2G15695.1
AT4G30810	SCPL29	AT4G30810.1
AT5G64610	HAM1	AT5G64610.1
AT2G21330	FBA1	AT2G21330.1
AT5G08340	RIBF2	AT5G08340.1
AT5G51940	NRPB6A	AT5G51940.1
AT2G25510		AT2G25510.1
AT2G30240	CHX13	AT2G30240.1
AT5G66990	RKD3	AT5G66990.1
AT3G03610		AT3G03610.4
AT4G29650	CDA4	AT4G29650.1
AT3G09410	PAE5	AT3G09410.1
AT1G51355	SMR9	AT1G51355.1
AT2G21880	RABG2	AT2G21880.1
AT1G29179		AT1G29179.1
AT3G18080	BGLU44	AT3G18080.1
AT3G54250	MVD2	AT3G54250.1
AT3G10260		AT3G10260.3
AT3G01340	SEC13A	AT3G01340.1
AT1G72910		AT1G72910.1
AT4G13300	TPS13	AT4G13300.1
AT5G43630	TZP	AT5G43630.2
AT4G25770		AT4G25770.2
AT2G30670		AT2G30670.1
AT3G13226		AT3G13226.1
AT5G49215		AT5G49215.1
AT1G61050		AT1G61050.2
AT4G10180	DET1	AT4G10180.1
AT4G26520		AT4G26520.3
AT3G60770	RPS13A	AT3G60770.1
AT2G29020		AT2G29020.1
AT1G18400	BEE1	AT1G18400.1
AT5G17890	DAR4	AT5G17890.1
AT5G39550	ORTH1	AT5G39550.1
AT2G04280		AT2G04280.1
AT2G35990	LOG2	AT2G35990.1
AT2G42310		AT2G42310.1
AT1G16770		AT1G16770.1
AT4G30260		AT4G30260.2
AT2G02480	STI	AT2G02480.2
AT2G39880	MYB25	AT2G39880.1
AT4G19070		AT4G19070.1
AT3G02940	MYB107	AT3G02940.3
AT5G08380	AGAL1	AT5G08380.1
AT3G22940		AT3G22940.1
AT4G29658	PRA1.C	AT4G29658.2
AT2G44830		AT2G44830.2
AT1G64860	SIGA	AT1G64860.1
AT1G20405		AT1G20405.1
AT1G11270		AT1G11270.2
AT3G15470		AT3G15470.1
